--- Printing Model Parameters ---
  192: aux5_4.conv_out.0.0.conv.weight                    | Shape: (1024, 128, 3, 3)              | Values: [-0.01265464 -0.01236872 -0.02022081  0.00669698 -0.01267518]
  193: aux5_4.conv_out.0.0.bn.gamma                       | Shape: (1024,)                        | Values: [1. 1. 1. 1. 1.]
  194: aux5_4.conv_out.0.0.bn.beta                        | Shape: (1024,)                        | Values: [0. 0. 0. 0. 0.]
  195: aux5_4.conv_out.1.weight                           | Shape: (20, 1024, 1, 1)               | Values: [ 0.0019371  -0.06401946 -0.06930184 -0.34403524  0.17465502]
  196: aux5_4.conv_out.1.bias                             | Shape: (20,)                          | Values: [0. 0. 0. 0. 0.]
  197: proj_head.proj.0.weight                            | Shape: (128, 128, 1, 1)               | Values: [ 0.04997034  0.2487928   0.11461575 -0.11273425  0.05574005]
  198: proj_head.proj.0.bias                              | Shape: (128,)                         | Values: [0. 0. 0. 0. 0.]
  199: proj_head.proj.1.gamma                             | Shape: (128,)                         | Values: [1. 1. 1. 1. 1.]
  200: proj_head.proj.1.beta                              | Shape: (128,)                         | Values: [0. 0. 0. 0. 0.]
  201: proj_head.proj.3.weight                            | Shape: (256, 128, 1, 1)               | Values: [-0.10806512 -0.08772726 -0.02618346 -0.08199096 -0.03104394]
  202: proj_head.proj.3.bias                              | Shape: (256,)                         | Values: [0. 0. 0. 0. 0.]
---------------------------------
